Picked up _JAVA_OPTIONS: -Dawt.useSystemAAFontSettings=on -Dswing.aatext=true
2020-12-09 17:42:08:463 0 sec: 0 operations; est completion in 0 second 
2020-12-09 17:42:13:428 5 sec: 5500 operations; 1100 current ops/sec; est completion in 1 minute [READ AverageLatency(us)=2265.42] [UPDATE AverageLatency(us)=2460.56] 
2020-12-09 17:42:18:427 10 sec: 13049 operations; 1509.8 current ops/sec; est completion in 1 minute [READ AverageLatency(us)=1974] [UPDATE AverageLatency(us)=1992.32] 
2020-12-09 17:42:23:427 15 sec: 21712 operations; 1732.6 current ops/sec; est completion in 55 seconds [READ AverageLatency(us)=1652.4] [UPDATE AverageLatency(us)=1803.97] 
2020-12-09 17:42:28:427 20 sec: 30636 operations; 1784.8 current ops/sec; est completion in 46 seconds [READ AverageLatency(us)=1648.14] [UPDATE AverageLatency(us)=1702.21] 
2020-12-09 17:42:33:427 25 sec: 39510 operations; 1774.8 current ops/sec; est completion in 39 seconds [READ AverageLatency(us)=1644.39] [UPDATE AverageLatency(us)=1724.31] 
2020-12-09 17:42:38:427 30 sec: 47418 operations; 1581.6 current ops/sec; est completion in 34 seconds [READ AverageLatency(us)=1906.17] [UPDATE AverageLatency(us)=1875.29] 
2020-12-09 17:42:43:427 35 sec: 55371 operations; 1590.6 current ops/sec; est completion in 29 seconds [READ AverageLatency(us)=1844.83] [UPDATE AverageLatency(us)=1915.28] 
2020-12-09 17:42:48:427 40 sec: 64381 operations; 1802 current ops/sec; est completion in 23 seconds [READ AverageLatency(us)=1713.73] [UPDATE AverageLatency(us)=1603.83] 
2020-12-09 17:42:53:429 45 sec: 73071 operations; 1737.65 current ops/sec; est completion in 17 seconds [READ AverageLatency(us)=1451.25] [CLEANUP AverageLatency(us)=5] [UPDATE AverageLatency(us)=1497.75] 
2020-12-09 17:42:58:427 50 sec: 80855 operations; 1557.11 current ops/sec; est completion in 12 seconds [READ AverageLatency(us)=709.78] [CLEANUP AverageLatency(us)=2] [UPDATE AverageLatency(us)=694.74] 
2020-12-09 17:43:03:427 55 sec: 88014 operations; 1431.8 current ops/sec; est completion in 8 second [READ AverageLatency(us)=700.65]  [UPDATE AverageLatency(us)=689.81] 
2020-12-09 17:43:08:427 60 sec: 95642 operations; 1525.6 current ops/sec; est completion in 3 second [READ AverageLatency(us)=654.57]  [UPDATE AverageLatency(us)=650.65] 
2020-12-09 17:43:11:524 63 sec: 100000 operations; 1407.17 current ops/sec; [READ AverageLatency(us)=709.79] [CLEANUP AverageLatency(us)=1] [UPDATE AverageLatency(us)=705.13] 
